,year,month,day,num1,num2,num3,num4,num5,num6,numzz
589,1967,01,28,6,7,18,21,35,39,
590,1967,02,04,7,8,11,26,34,42,
591,1967,02,11,3,22,25,29,45,47,
592,1967,02,18,3,7,12,33,44,49,
593,1967,02,25,3,16,22,27,32,42,
594,1967,03,04,19,23,27,45,47,49,
595,1967,03,11,5,9,19,36,39,42,
596,1967,03,18,4,7,21,22,23,44,
597,1967,03,25,7,20,27,29,42,48,
598,1967,04,01,14,21,24,31,34,48,
599,1967,04,08,1,2,18,26,43,45,
600,1967,04,15,11,12,22,34,44,48,
601,1967,04,22,6,12,16,18,29,49,
602,1967,04,29,7,19,23,33,38,42,
603,1967,05,06,2,8,18,30,41,44,
604,1967,05,13,21,26,29,30,39,49,
605,1967,05,20,5,18,20,29,34,43,
606,1967,05,27,2,32,35,39,46,49,
607,1967,06,03,2,3,18,20,37,42,
608,1967,06,10,17,21,30,44,45,49,
609,1967,06,17,7,23,37,40,43,48,
610,1967,06,24,3,8,16,18,31,43,
611,1967,07,01,1,13,20,30,34,45,
612,1967,07,08,9,12,19,30,33,49,
613,1967,07,15,1,7,22,24,32,49,
614,1967,07,22,4,9,10,19,30,43,
615,1967,07,29,2,3,30,32,40,41,
616,1967,08,05,2,14,21,26,41,45,
617,1967,08,12,3,8,9,13,34,38,
618,1967,08,19,2,5,13,19,22,23,
619,1967,08,26,13,21,22,38,40,48,
620,1967,09,02,12,22,25,38,43,44,
621,1967,09,09,7,15,16,32,35,36,
622,1967,09,16,3,9,15,20,21,36,
623,1967,09,23,3,19,26,36,43,45,
624,1967,09,30,2,20,35,36,37,49,
625,1967,10,07,1,14,19,29,32,42,
626,1967,10,14,22,24,28,36,44,45,
